WCD2	-0.0915
WC	-0.0915
WO	-0.0378
YN	0.0729
YH	-0.0029
YCA	-0.1441
YHA	-0.0788
YCB	-0.1441
YHB2	-0.0788
YHB3	-0.0788
YCG	-0.0525
YCD1	-0.0525
YHD1	-0.0788
YCE1	-0.0525
YHE1	-0.0788
YCZ	-0.0525
YOH	0.0012
YHH	-0.0029
YCE2	-0.0525
YHE2	-0.0788
YCD2	-0.0525
YHD2	-0.0788
YC	-0.0525
YO	0.0012
VN	0.0953
VH	0.0195
VCA	-0.1217
VHA	-0.0564
VCB	-0.1217
VHB	-0.0564
VCG1	-0.1217
VHG11	-0.0564
VHG12	-0.0564
VHG13	-0.0564
VCG2	-0.1217
VHG21	-0.0564
VHG22	-0.0564
VHG23	-0.0564
VC	-0.0301
VO	0.0236
